Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
414155,258.5,954.899,3.694
414155.2,261,963.873,3.693
414155.4,263.5,973.237,3.6935
414155.6,214.5,792.578,3.695
414155.8,211,779.539,3.6945
414156,208.5,770.199,3.694
414156.2,213.5,788.562,3.6935
414156.4,215.5,795.411,3.691
414156.6,217,801.706,3.6945
414156.8,221,816.595,3.695
414157,218,805.728,3.696
414157.2,217,801.598,3.694
414157.4,220,812.13,3.6915
414157.6,218,804.638,3.691
414157.8,218,805.401,3.6945
414158,219.5,810.943,3.6945
414158.2,217,801.598,3.694
414158.4,217.5,803.445,3.694
414158.6,220,811.91,3.6905
414158.8,217.5,803.445,3.694
414159,206,761.17,3.695
414159.2,205,757.372,3.6945
414159.4,207.5,766.505,3.694
414159.6,208.5,770.199,3.694
414159.8,208,767.728,3.691
414160,205,757.27,3.694
414160.2,193,712.942,3.694
414160.4,218,804.965,3.6925
414160.6,270,997.515,3.6945
414160.8,270.5,999.227,3.694
414161,278,1026.932,3.694
414161.2,293.5,1084.189,3.694
414161.4,315,1163.138,3.6925
414161.6,315.5,1164.984,3.6925
414161.8,307,1134.672,3.696
414162,270,997.515,3.6945
414162.2,267.5,988.145,3.694
414162.4,275.5,1017.972,3.695
414162.6,220.5,813.755,3.6905
414162.8,223,823.873,3.6945
414163,211.5,781.492,3.695
414163.2,216,797.904,3.694
414163.4,216,797.904,3.694
414163.6,212.5,784.338,3.691
414163.8,215.5,795.841,3.693
414164,209.5,774.102,3.695
414164.2,204.5,755.525,3.6945
414164.4,204.5,755.525,3.6945
414164.6,208.5,769.886,3.6925
414164.8,213.5,788.029,3.691
